courseName,courseSubject,courseNumber
Principles of Medical Imaging,PHYS,665
Justice and Social Conflict in a Globalized World,RELI,312
Fire and Smoke Control in Buildings,BLDG,6651
Handling and Stability of Road Vehicles,MECH,7711
Advanced Concepts in Quality Improvement,INDU,6341
Therapeutic Recreation: Cognitive Disabilities and Illness,AHSC,384
Gestion de projets,FTRA,455
Rédaction ,FRAA,413
Professional Internship I ,ARTT,471
Fundamentals and Applications of MIMO Communications,ELEC,6881
The Centre for Biological Applications of Mass Spectrometry, , 
Financial Reporting: Comprehensive Applications,ACCO,651
Introduction to Management Consulting,MANA,481
Mechanics of Briefing Notes,POLI,683
Time Series,MAST,677
Engineering Industrial Experience Reflective Learning III,ENGR,308
"Intermedia, Performance Practices and Performative Video",IMCA,332
Applied Field Project I,EMBA,633
Indoor Air Quality and Ventilation,BLDG,6751
Socially Engaged and Cctivist  Performance,PERC,421
Technical Writing and Research Methods for Engineers and Computer Scientists,ENCS,6721
Media Research Laboratory,COMS,684
Optical Devices for High-Speed Communications,ELEC,6261
Environment of World Business,MARK,462
Engineering Analysis of Smart Materials and Structures,MECH,6341
International Finance,FINA,470
Sculpture and Material Practices,SCUL,210
Social Economy & Sustainable Futures,ANTH,450
Institute for Investigative Journalism, , 
Introductory Italian II,ITAL,202
Elements of Production,DFTT,371
Methodology II,TESL,424
The Engaged Theatre Artist,ACTT ,209
Playwriting II,PERC,462
"Capstone Mechanical Engineering Design Project (also listed as MECH 490B, MECH490C)",MECH,490A
Numerical Methods in Physics with Python,PHYS,236
Introductory Spanish II,SPAN,202
Special Topics in Photography,PHOT,399
Initiation à la traduction générale Co-listé : FTRA 532,FTRA,632
Tutorial in literature,FTRA,681
Economic Data Analysis,ECON,324
Introductory German: Intensive,GERM,200
Surface Tension,CERA,392
Ensembles l,ACTT,231
Specialization Project,PSYC,485
Doctoral Research and Thesis,ENGR,8911
Deductive Logic,PHIL,214
Independent Study,CERA,450
Kenneth Woods Portfolio Management Program, , 
History and Digital Media,HIST,380
Secure programsming,INSE,6660
Screen Printing III,PRIN,431
Women in Jewish History: Modern,RELI ,392
In the Field: Methods,COMS,506
Computational Fluid Dynamics for Aerospace Applications,AERO,455
Urban Scenographies,SCEN,411
Geographic Information Systems,GEOG,363
Introduction to the Earth,GEOL,210
One Act Project,ACTT,436
Real-time and Multimedia Communication over Internet,ELEC,6181
Undergraduate Aerospace Industry Project I,IADI,301
Introductory Creative Writing: Playwriting,ENGL,227
"Business Information Systems’ Risks, Security and Audit",BTM,440
Solar Building Modelling and Design,BLDG,6951
Experimental Electronics I,PHYS,295
Antennas,ELEC,6341
Physiology of Exercise,EXCI,358
Databases,COMP,353
The Engaged Theatre Artist,PERC,209
Urban Agriculture,GEOG,323
Honours Essay,PHIL,495
Life in the Round: Drawing the Figure from Observation II,DRAW ,414
Scientific Communication,BIOL,670
Honours Seminar in Accountancy,ACCO,495
Mediating Diversity through Audio Story-telling,JOUR,630
Internship I in Youth Work,AHSC,533
Software Process,SOEN,341
Zoroastrianism,RELI,313
Research Methodology,MSCA,611
Geographic Information Systems,URBS,335
Manufacturing of Composites,MECH,6521
Extramural Practicum II: General,PSYC,838
Development & Global Engineering (also listed as ENCS 6821),ENCS,484
Marketing Communications,MARK,453
Bioinformatics,BIOL,480
Sports Marketing,MARK,444
Compensation and Benefits,MANA,443
Extramural Practicum II: Child,PSYC,840
Puppetry and Performing Object Workshop,PERC,356
Actuarial Mathematics Lab III,ACTU,486
Portfolio Management,FINA,411
Engineering Industrial Experience Work Term II,ENGR,207
Heat Transfer I,MECH,352
"Initiation au sous-titrage
Co-listé : FTRA 538",FTRA,638
Dynamics and Control of Nonholonomic Systems,MECH,6681
Community Engagement,RELI,6008
Fieldwork Practice,AHSC,435
Intermediate Modern Chinese II,MCHI,250
Concordia Students’ Nightline, , 
Short Works Festival,PERC,488
Advanced Public Performance Design,DFTT,450
Computer Organization and Software,COEN,311
Designing an Acting Workshop,ACTT,480
Capstone I Seminar,ACCO,658
Concordia International Community Outreach Program , , 
Advanced Public Performance Design,DFTT,451
Supervised Internship I,MUSI ,481
Queer Theatre and Performance,PERC,324
Building Enclosure,BLDG,6601
Introduction to Digital Media,ETEC,665
Communication Analysis of Environment,COMS,324
Introduction to Epistemology,PHIL,263
CASA JMSB Diversity Committee, , 
Human Factors Engineering,INDU,6411
Lighting Design Realization,DFTT,315
Feminism and Research Methods,WSDB,292
Eclectic Ensemble II,JPER ,324
Engineering Industrial Experience Work Term III,ENGR,307
Life in the Round: Painting the Figure from Observation II,PTNG,414
APC Practicum II: General,PSYC,708
Introductory German I,GERM,201
Media Production: Intermedia,COMS,570
History of Montreal,HIST,307
Design for Testability,COEN,6521
Independent Study in Intermedia I,IMCA,471
Actuarial Mathematics Lab II,ACTU,386
Independent Study,ARTX,490
Roller Skating Club, , 
Modern Standard Arabic for Heritage Speakers II ,MARA,207
Dynamics of Hydraulic Control Systems,MECH,7011
Introduction to Statistical Programming,STAT,280
Power Electronics I,ELEC,6411
Operating Systems,COEN,346
Counselling Skills and Concepts,AHSC,451
Hexagram-Concordia, , 
Strategy and Competition,COMM,401
"Seminar in Creative Writing: Prose Fiction, Poetry and Drama ",ENGL,672
"International Experience Canada - Foreign Affairs, Trade and Development Canada", , 
Independent Study in Intermedia II ,IMCA,472
Création littéraire I,FLIT,486
Introductory Biology,BIOL,201
Independent Study,SCUL,450
Hydrology,CIVI,6301
Scriptwriting for the Media,COMS,307
Financial Reporting for Responsible Decision Making,MBA,642
Econometric Theory I,ECON,680
Painting II,PTNG,300
Distributed Systems,SOEN,423
L’Organe, , 
Representation Methods in Urban Studies,URBS,250
Concordia Canadian Asian Society (CCAS), , 
Independent Study,SSDB,428
Sustainable Business Strategy,MANA,668
Modelling and Analysis of Dynamic Systems,MECH,370
Electronics I,ELEC,311
Performance Art,IMCA,230
Concordia Mycological Society, , 
Theory of Finance I,FINA,385
"Web, technologies, traduction : théories et critiques",FTRA,668
Nanochemistry,CHEM,651
Centre for Oral History and Digital Storytelling, , 
Neural Networks,COEN,6331
Athletic Therapy Clinical Internship II,CATA,495
Digital Technologies and Material Practices ,FBRS,386
"Hive Cafe, Solidarity Cooperative", , 
Corrosion and Oxidation of Metals,MECH,6571
Computer Architecture and Design,COEN,6741
Independent Study ,FBRS,450
Feature Writing,JOUR,303
Edible Environments: In and Beyond Montreal (also listed as HIST 670),HIST,498
Advanced Techniques in Ecology,BIOL,622
Error Detecting and Correcting Codes,ELEC,6131
Literary Publishing and Editing,ENGL,414
Special Topics in Ceramics,CERA,399
Advanced Studies in Creative Writing,ENGL,429
"Casting, Welding, Heat Treating, and Non-Destructive Testing",MECH,423
Data Communication and Computer Networks,COMP,445
Organic Chemistry III: Organic Reactions,CHEM,324
Marketing Channels,MARK,457
APC Practicum III: General,PSYC,823
APC Practicum II: Adult,PSYC,709
Computer Integrated Manufacturing,INDU,411
Advanced Emergency Care,CATA,462
Group Process Intervention,AHSC,610
Project in Biotechnology and Genomics,BIOL,516
Terminologie et mondialisation,FTRA,534
Improvisation,ACTT,332
Lithography I,PRIN,221
Landform Evolution,GEOG,377
"Ancient Pottery:  History, Analysis and Interpretation",CLAS,460
Childhood Settings,CHST,618
Statistical Analysis I,PSYC,315
Screen Printing II,PRIN,331
Foundations in Photographic Vision Theory and Practice I,PHOT,210
Computer-aided Analysis of Power Electronic Systems,ELEC,6481
Two-dimensional Signal and Image Processing,ELEC,6641
Wireless Network Security,INSE,6190
D3 Residence Program, , 
Athletic Therapy Field Internship II,CATA,485
Advanced Telecommunication Network,ELEC,472
Fundamentals of Vehicle System Design,MECH,447
Special Topics in Intermedia,IMCA,499
Introduction to Historical Perspectives in Women’s Studies,WSDB ,290
Introduction to the Philosophy of Science,PHIL,220
Guided Vehicle Systems,MECH,6781
Student Association for Graduates in English (SAGE), , 
Co-operative Education, , 
Current Issues in Marketing,MARK,493
Research Seminar,ECON,806
Traduction littéraire avancée : du français à l’anglais,FTRA,401
Seismic Assessment and Retrofit of Structures,CIVI,6031
Professional Internship II,FBRS,482
Product Innovation and Strategy,MARK,486
VLSI Process Technology,ELEC,424
Basics of Digital Imaging,JOUR,507
Seminar Course: Business Case Writing ,COMM ,499
Advanced Integrated Studio in Contemporary Art Practices,ARTX,480
The John Molson Sports Marketing Committee (JMSM), , 
Financial Decisions Under Uncertainty,EMBA,630
Introductory Modern Chinese ,MCHI,200
Robot Manipulators,ENGR,472
Introduction to Colour Photography,PHOT,201
Retailing,MARK,463
Statistical Models for Data Analysis,BSTA,450
Garnet Key Society, , 
Design of Steel Structures,CIVI,454
Practicum,SSDB,426
Creation Project,ACTT,435
Soil Behaviour,CIVI,6521
Independent Study I,AHSC,490
Electromechanical Energy Conversion Systems,ELEC,435
"Writing about/on/with/at/the contemporary circus: A seminar on Research-Creation, Creative process and Meaning-Making (intensive Faculty of Arts and Science international graduate seminar)",ENGL,636
Language Assessment,APLI,635
John Molson MBA Entrepreneurship Club (JMEC), , 
Advanced Radio News,JOUR,530
Concordia Cinema Politica Student Association, , 
Public History Internship,HIST,486
Intermediate Italian: Intensive Course ,ITAL,240
"Body, Representation and Information II ",PTNG,412
Seminar in Corporate Finance,FINA,663
Total Quality Project Management,INSE,6230
Advanced Photojournalism,JOUR,445
Introduction to Video Production,IMCA,210
Pedagogical Training,BIOL,801
Costume Accessories Realization,DFTT,326
Applied Project in Theology,THEO,692
Trading in Financial Securities,FINA,465
Electronics,PHYS,390
"Children, Families and Social Policy",EDUC,303
Luc Beauregard Centre of Excellence in Communications Research, , 
Project Management,BLDG,6571
Gas Turbine Design,MECH,6161
Advanced Laboratory in Biochemistry,CHEM,477
Community and Local Activism,SCPA,352
Technique II,DANC,305
Applied Investments: Business Analysis and Valuation,FINA,695
Introduction to Contemporary Art Practices,ARTX,201
Water Pollution and Control,CIVI,465
Biostatistics,BIOL,322
Protocol Design and Validation,COEN,7311
Introduction to Reporting,JOUR,502
VLSI Process Technology,ELEC,6241
Systems Engineering Maintenance Management,INSE,6310
Fundamentals of Child‑ and Youth‑Care Work,AHSC,322
Marketing of Services,MARK,451
Creative Writing: Poetry,ENGL,348
Special Topics in Painting,PTNG,398
Community Arts: The Art of Engagement,PERC,351
VLSI Circuit Design,COEN,451
Sustainable Concordia, , 
Practicum in Archaeology,CLAS,370
Computer Science Industrial Experience Reflective Learning II,COMP,208
Production Systems and Inventory Control,INDU,6211
Jonathan Wener Centre for Real Estate, , 
Inclusive Practices in Early Childhood Settings,EDUC,361
Theory and Design of Orthotropic Bridges,CIVI,7101
Intermediate Fibre Structures,FBRS,341
John Molson International MBA Case Competition (MBA-ICC), , 
Casting,MECH,6531
Financial Reporting IV,ACCO,425
Digital Waveform Compression,ELEC,6621
Taxation and Decision-Making,ACCO,655
Special Topics in Acting,ACTT,499
Topics in Fibre Surfaces,FBRS,396
Business Communication,COMM,205
Management Consulting Project,EMBA,690
Instrumentation and Measurements,MECH,411
Acoustics and Lighting,BLDG,366
Social Media and Mobile Reporting,JOUR,325
Hazardous Material Management and Transportation,CIVI,6631
Creative Writing: Prose Fiction,ENGL,342
Pattern Recognition,COMP,6731
Space Flight Mechanics and Propulsion Systems,MECH,6251
French Language: Transitional Level,FRAN,212
Performance Creation Studio 1: Theory and Method,PERC,210
Construction Equipment Management,BLDG,7871
Stress Analysis in Mechanical Design,MECH,6441
Heat Exchanger Design,MECH,6141
Techniques in Electromagnetic Compatibility,ELEC,6381
Specialist Reporting,JOUR,402
Capstone Electrical Engineering Design Project,ELEC,490
Pavement Design,CIVI,6451
Honours Essay Tutorial,HIST,493
International Study Trip,EMBA,676
The Centre for Research in Human Development, , 
Engineering Fracture Mechanics and Fatigue,MECH,6641
The Politics of the Past,HIST,381
Goddesses and Religious Images of Women,RELI,387
Contemporary Print Processes II,PRIN,371
Independent Study II,PTNG,472
Design of Computer-Aided Systems in Building and Civil Engineering,BLDG,6221
Engineering Industrial Experience Reflective Learning I,ENGR,108
Planning and Design of Bridges,CIVI,6101
Fuel Control Systems for Combustion Engines,MECH,6081
Logement et aménagement du territoire dans une perspective de DÉC. Partie II,SCPA,516
Initiation à la traduction générale Co-listé : FTRA 531,FTRA,631
English Language Arts: Secondary,TESL,471
Special Topics in Photography,PHOT,398
Tutorat en langue ou linguistique,FRAA,491
Testing and Evaluation of Polymer Composite Materials and Structures,MECH,6601
HVAC System Design,BLDG,471
Academic Oral Communication I,ESL,205
International Economic Policy and Institutions,ECON,319
Introduction to Public Performance Design,DFTT,350
Pattern Recognition,COMP,473
Computer Science Industrial Experience Work Term I,COMP,107
Extramural Practicum III: Adult,PSYC,842
Sustainable Development and Environmental Stewardship,ENGR,202
Special Topics in Print Media,PRIN,398
Information Systems Design and Implementation,BTM,495
Construction Processes,BLDG,492
Foundations of Cryptography,INSE,6110
Adult Education as a Field of Study,ESTU,670
Special Topics in Drawing,DRAW ,399
Quality in Supply Chain Design,INSE,6290
Theory of Operations Research,INDU,6111
Aeroelasticity,MECH,6481
Civil Engineering Design Project,CIVI,390
Sustainable Forest Management,GEOG,474
Metal Casting: Bronze and Aluminum II,SCUL,312
Construction Planning and Control,BLDG,6801
Feminist Perspectives on Culture,WSDB,491
Communication Media: Intermedia I,COMS,274
Asset Management for Sustainable Civil Infrastructure,CIVI,6711
Étude avancée d’un sujet particulier,FRAA,498
Youth and Leisure,AHSC,422
Computational Methods in Physics with Python,PHYS,440
John Molson International Committee, , 
Integrated Studio in Contemporary Art Practices I,ARTX,280
Multivariate Statistics,PSYC,823
Electrical Engineering Product Design Project,ELEC,390
Étude d’un sujet particulier,FLIT,498
Simulations and Design of Construction Operations,BLDG,6861
Video Game Technology and Development,INSE,6510
Scene Painting Realization,DFTT,337
Internship in Youth and Family Work,AHSC,436
Measuring and Reporting Financial Performance,EMBA,610
Drawing and Knowledge II,DRAW ,412
Eclectic Ensemble III,JPER,424
Modern Analog Filter Design,ELEC,441
Advanced Program Design with C++,COMP,345
Centre for Broadcasting and Journalism Studies, , 
Special Topics in Drawing,DRAW ,299
IPSA-Concordia Summer School in Applied Diplomacy,POLI,487
IPSA-Concordia Summer School in Applied Diplomacy,POLI,687/812
Advanced Seminar in Comparative Politics,POLI,487
Advanced Seminar in Comparative Politics,POLI,687/812
Helicopter Flight Dynamics,MECH,6231
Programming and Problem Solving,COMP,5481
Statistical Software for Data Management and Analysis,BSTA,445
Choreography II,DANC,420
Value Added Service Engineering in Next Generation Networks,INSE,7110
Modern Standard Arabic for Heritage Speakers I ,MARA,203
Designing and Developing Interactive Instruction,ETEC,669
Chamber Ensemble IV,MPER,422
Biochemistry I,CHEM,271
Analytical Chemistry for Biologists,CHEM,212
Fundamentals of Instructional Design,ETEC,650
Special Topics in Dance,DANC,398
Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041),ENCS,483
Independent Study in Print Media ,PRIN,470
Capstone II Examination Preparation,ACCO,659
Proseminar 1: Indigenous Ways of Knowing,FPST,297
Exhibition Scenography,SCEN,347
Building Acoustics,BLDG,6721
Playwriting 1,PERC,318
Professional Internship II,ARTT,472
Econometrics I,ECON,521 (x-listed w 421)
Independent Study,DRAW ,470
Concordia Student Exchange Program (CSEP), , 
Création littéraire II,FLIT,488
Environmental Engineering Research Project,CIVI,7901
Extramural Practicum I: General,PSYC,711
Introductory Engineering Team Design Project,ENGR,290
Image Processing,COMP,478
PERFORM Centre observation,PERFORM,Centre
Advanced Elements of Production,DFTT,471
Advanced Assurance Services,ACCO,465
Modal Analysis of Mechanical Systems,MECH,6351
John Molson Competition Committee, , 
Quantitative Research Methods,URBS,362
Special Topics in Acting,ACTT,398
"Body, Representation and Information I ",PTNG,312
Project Acquisition and Control,BLDG,7811
Manufacturing Processes,MECH,311
Compiler Design,COMP,6421
Kinetic Theory of Gases,MECH,6101
Small Business Consulting Bureau, , 
Product Design Theory and Methodology,INSE,6411
Seminar/Workshop in Painting,PTNG,420
Consultation Methods,AHSC,670
Applied Investment Analysis,FINA,409
Tutorat en littérature,FTRA,680
Teaching and Learning Second Language Vocabulary,APLI,610
Indigenous Story Telling,PERC,422
"Pilgrim Bodies, Sacred Journeys",THEO,234
Urban Clay,CERA,391
Engineering Industrial Experience Work Term I,ENGR,107
Extramural Practicum I: Child,PSYC,713
Hydraulic Engineering,CIVI,6331
Time Series and Forecasting,STAT,460
Communication Media: Moving Images II,COMS,384
Magazine Writing,JOUR,404
Variationist Approaches to Second Language Acquisition,APLI,626
Assessment Practicum II,PSYC,707
"Leadership,
 Change &
 Social
 Innovation",AHSC,498
Voice and Movement for the Stage l,ACTT ,211
Urban Laboratory,URBS,333
Engineering Industrial Experience Work Term II,ENGR,207
Mechatronics and Automation,MECH,472
Aspects of the Artist Book,PRIN,366
Supervised Internship I,PERC,408
Between the Wall and the Viewer,PTNG,418
Wind Engineering and Building Aerodynamics,BLDG,6071
Hybrid Electric Vehicle Power System Design and Control,ELEC,6471
Van Berkon Case Competition - Executive Assistant,MBA,658
Durability of Concrete Materials,CIVI,6021
Modern Analog Filter Design,ELEC,6081
Strategic Studies,POLI,419
Communication Media: Sound III,COMS,477
Advanced Computer Architecture,COEN,7741
Extended Internship in Youth Work,AHSC,538
Seminar in Consulting,MSCA,654
Internship,POLI,693
Plate Tectonics and Crustal Evolution,GEOL,415
Concordia Dragon Boat Club, , 
Étude avancée d’un sujet particulier,FTRA,498
Proseminar 2: Ethics and First Peoples,FPST,397
John Molson Human Resource and Management Association (JHMA), , 
Honours Research Project,ENGR,412
Selected Topics: Introduction to Spoken Irish,IRST,299
Independent Study II,PERC,415
Personal Selling,MARK,454
Econometrics II,ECON,522 (x-listed w 422)
Actuarial Mathematics Lab I,ACTU,286
Doctoral Seminar on Selected Topics II,PHYS,862
Quebec public interest research group of Concordia, , 
Extramural Practicum I: Adult,PSYC,712
Shiite Islam,RELI,318
Introduction to Semiconductor Materials and Devices,ELEC,321
Data Mining Techniques,BSTA,478
Computer Science Project II,COMP,492
Building Environment,BLDG,6701
Music in History,HIST,329
Video History and Theory,VDEO,350
Drawing IV,DRAW ,450
Textile Printing and Dyeing I,FBRS,260
Fluid Power Control,MECH,463
Voice for the Stage lll,ACTT,355
Socialist Fightback Association, , 
Introductory Experimental Mechanics,PHYS,224
Independent Study,BIOL,490
System Software Design,COMP,444
Special Topics in Design for the Theatre,DFTT,299
Economics in Practice,ECON,330
Media Production: Sound,COMS,562
Intaglio I ,PRIN,211
"Capstone Building Engineering Design Project (also listed as BLDG 490A, BLDG 490B)",BLDG,490
History Through Visual Media and Material Culture,HIST,379
"Seminar in Creative Writing: Prose Fiction, Poetry and Drama ",ENGL,673
Research Methods and Designs II,PSYC,311
"Technology, Art and Games (TAG)", , 
Le financement des initiatives de DÉC. Partie II,SCPA,509
APC Practicum IV: Adult,PSYC,827
Vehicle Dynamics,MECH,6751
Contemporary Irish Theatre,IRST,347
Scriptwriting for the Media,COMS,407
Environmental Impact Assessment,CIVI,6661
Ceramics II ,CERA,330
Introductory Experimental Electricity,PHYS,225
Programming for Geospatial Technologies,GEOG,464
Gender and Sexuality in Performance,PERC,322
Content Creation and Management in Professional Writing,ENGL,396
Special Topics in Painting ,PTNG,299
Van Berkom JMSB Case Competition, , 
Centre for Applied Synthetic Biology (CASB), , 
Multicore Programming,COMP,426
Theory of Finance II,FINA,395
Engineering Industrial Experience Work Term II,ENGR,207
Concordia Ski & Snowboard Club, , 
Independent Study in Intermedia,IMCA,470
Programming for Mechanical and Industrial Engineers,MECH,215
High-throughput Instrumentation,BIOL,486
John Molson Accounting Society (JMAS), , 
Life in the Round: Painting the Figure from Observation I,PTNG,314
Field Ecology,BIOL,451
Muslim Student Association, , 
Doctoral Seminar,HIST,889
Introduction to Multimedia,JOUR,207
Advanced translation in social sciences and the humanities Co-listé : FTRA 542 ou FTRA 543,FTRA,613
Independent Study II ,DRAW ,472
Releve Communication, , 
Analysis and Design of Pneumatic Systems,MECH,6011
Case Competition in Marketing (Seminar),COMM,499
Oral History performance,PERC,464
Topics in Mathematics and Statistics (Topic in 2021 - Sports Analytics),MAST,397
Primary Pedagogy,TESL,426
Mechanical Forming of Metals,MECH,6511
Impact of Technology on Society,ENGR,392
Animation for Computer Games,COMP,6311
Computer Organization and Assembly Language,COMP,5201
Teaching a Second Language in Early Childhood and Elementary School,EDUC,385
Advanced Digital Communications,ELEC,6841
Human Anatomy II: Systemic Anatomy,EXCI,254
Travaux dirigés (F),FTRA,528
Geo-Environmental Engineering,CIVI,469
Performance Creation Studio 11: Collaborative Practice,PERC,384
Le français des affaires ,FRAN,318
Computer Networks and Protocols,COMP,6461
Advanced Topics in Derivative Markets,FINA,413
Painting IV,PTNG,450
Human Physiology II: The Cardiovascular and Respiratory Systems,EXCI,357
Security and Privacy Implications of Data Mining,INSE,6180
Concordia Greenhouse, , 
Power System Compensation,ELEC,7451
Visual Story-Telling,JOUR,521
Roles and Competencies of Adult Educators,ADED,230
Embedded Systems Security,INSE,6670
Lithography II,PRIN,321
Drawing and Knowledge I,DRAW ,312
Independent Study II,DFTT,405
Concordia Laptop Orchestra II,EAST,463
Applied Econometrics,ECON,523 (x-listed w 423)
Lean Manufacturing,INDU,6241
Convection Heat Transfer,MECH,7101
Emergency Care in Sport and Exercise,CATA,262
Electrical Power Equipment,ELEC,430
Wireless Communications,ELEC,6141
"Rehabilitation of the Hip, Spine and Pelvis",CATA,439
System Reliability,INDU,6351
Sustainable Infrastructure Planning and Management Systems,INSE,6311
Structural Composite,MECH,6651
Special Topics in Design for the Theatre,DFTT,499
Field Research,ANTH,315
Virtual Systems Engineering,MECH,6041
Building Science,BLDG,6611
Design for Live Performance ll,DFTT,210
MRI Internships, , 
Tutorial in Philosophy,PHIL,496
Workshops for Adult Educators,ADED,370
Elements of Production,DFTT,370
Information Retrieval and Web Search,COMP,6791
Happening Marketing, , 
Introductory Italian I,ITAL,201
The Link, , 
High-throughput Instrumentation,BIOL,524
Introduction to Acting ll,ACTT,202
Introduction to Sustainability Studies (also listed as BIOL 205),LOYC,205
Special Topics in Performance Creation,PERC,298
